PRODUCT_CATEGORY_GROUPING_DESCRIPTION,PRODUCT_CATEGORY_GROUPING_SUMMARY
Additives/Ingredients,OTHER
DAIRY,DAIRY
LIQUID COCONUT,LIQUID COCONUT
MARINE,MARINE
Non-Inventory,OTHER
NUTRACEUTICAL,NUTRACEUTICAL
Packaging,OTHER
PET,PET
PET/FEED,PET
PLANT,PLANT
SOLID COCONUT,SOLID COCONUT
Supplies,OTHER
TRADING,TRADING
